Id,Wifi,Mushola,Ruang Lesehan,Ruang AC,Halaman Parkir,Live Music,Games,Kabel Terminal,Toilet
1,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
2,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
3,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya
4,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
5,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya
6,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya
7,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya
8,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya
9,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya
10,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya
11,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya
12,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya
13,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya
14,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
15,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
16,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
17,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya
18,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
19,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya
20,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Ya
21,Ya,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya
22,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
23,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya
24,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya
25,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya
26,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya
27,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya
28,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya
29,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya
30,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya
31,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
32,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Ya
33,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya
34,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya
